val,test
426.5869140625,427.99664306640625
415.8043518066406,417.494873046875
390.6744079589844,392.689453125
334.1025390625,336.7629699707031
231.1551971435547,234.8851318359375
120.28548431396484,125.06580352783203
70.00813293457031,68.35604858398438
57.68316650390625,56.746891021728516
52.930538177490234,50.61081314086914
47.64636993408203,47.390743255615234
41.5691032409668,44.247215270996094
41.44356918334961,39.787689208984375
42.69871520996094,39.79518127441406
39.46961975097656,41.3299674987793
38.92147445678711,38.408897399902344
